customer_id,gender,age,city,membership_type,total_spend,items_purchased,average_rating,discount_applied,days_since_last_purchase,satisfaction_level,customer_value,customer_segment,recency_score
101,Female,29,New York,Gold,1120.2,14,4.6,True,25,Satisfied,80.01428571428572,High,Medium
102,Male,34,Los Angeles,Silver,780.5,11,4.1,False,18,Neutral,70.95454545454545,Medium,High
103,Female,43,Chicago,Bronze,510.75,9,3.4,True,42,Unsatisfied,56.75,Medium,Medium
104,Male,30,San Francisco,Gold,1480.3,19,4.7,False,12,Satisfied,77.91052631578947,High,High
105,Male,27,Miami,Silver,720.4,13,4.0,True,55,Unsatisfied,55.41538461538461,Medium,Low
106,Female,37,Houston,Bronze,440.8,8,3.1,False,22,Neutral,55.1,Low,Medium
107,Female,31,New York,Gold,1150.6,15,4.5,True,28,Satisfied,76.70666666666666,High,Medium
108,Male,35,Los Angeles,Silver,800.9,12,4.2,False,14,Neutral,66.74166666666666,Medium,High
109,Female,41,Chicago,Bronze,495.25,10,3.6,True,40,Unsatisfied,49.525,Low,Medium
110,Male,28,San Francisco,Gold,1520.1,21,4.8,False,9,Satisfied,72.38571428571429,High,High
111,Male,32,Miami,Silver,690.3,11,3.8,True,34,Unsatisfied,62.75454545454545,Medium,Medium
112,Female,36,Houston,Bronze,470.5,7,3.2,False,20,Neutral,67.21428571428571,Low,High
113,Female,30,New York,Gold,1200.8,16,4.3,True,21,Satisfied,75.05,High,Medium
114,Male,33,Los Angeles,Silver,820.75,13,4.4,False,15,Satisfied,63.13461538461539,Medium,High
115,Female,42,Chicago,Bronze,530.4,9,3.5,True,38,Unsatisfied,58.93333333333333,Medium,Medium
116,Male,29,San Francisco,Gold,1360.2,18,4.9,False,11,Satisfied,75.56666666666666,High,High
117,Male,26,Miami,Silver,700.6,12,3.7,True,48,Unsatisfied,58.38333333333333,Medium,Medium
118,Female,38,Houston,Bronze,450.9,8,3.0,False,25,Neutral,56.3625,Low,Medium
119,Female,32,New York,Gold,1170.3,14,4.7,True,29,Satisfied,83.59285714285714,High,Medium
120,Male,34,Los Angeles,Silver,790.2,11,4.0,False,16,Neutral,71.83636363636364,Medium,High
121,Female,43,Chicago,Bronze,505.75,10,3.3,True,41,Unsatisfied,50.575,Medium,Medium
122,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.525,High,High
123,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,54.64615384615384,Medium,Low
124,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.54285714285714,Low,Medium
125,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.03999999999999,High,Medium
126,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.575,Medium,High
127,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,53.91666666666666,Low,Medium
128,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,71.43333333333332,High,High
129,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,67.03,Medium,Medium
130,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,57.5625,Low,High
131,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.425,High,High
132,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,63.90384615384615,Medium,High
133,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,57.82222222222222,Medium,Medium
134,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12222222222222,High,High
135,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,57.55,Medium,Medium
136,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,55.1125,Low,Medium
137,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.87857142857142,High,Medium
138,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,72.74545454545455,Medium,High
139,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,50.075,Medium,Medium
140,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,73.025,High,High
141,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,53.87692307692308,Medium,Low
142,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,60.114285714285714,Low,Medium
143,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,75.37333333333332,High,Medium
144,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,68.40833333333333,Medium,High
145,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,53.36111111111112,Low,Medium
146,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,70.95714285714286,High,High
147,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,68.03,Medium,Medium
148,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,58.8125,Low,High
149,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,73.8,High,High
150,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.83636363636364,Medium,High
151,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.575,Medium,Medium
152,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.525,High,High
153,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,54.64615384615384,Medium,Low
154,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.54285714285714,Low,Medium
155,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.03999999999999,High,Medium
156,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.575,Medium,High
157,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,53.91666666666666,Low,Medium
158,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,71.43333333333332,High,High
159,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,67.03,Medium,Medium
160,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,57.5625,Low,High
161,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.425,High,High
162,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,63.90384615384615,Medium,High
163,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,57.82222222222222,Medium,Medium
164,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12222222222222,High,High
165,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,57.55,Medium,Medium
166,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,55.1125,Low,Medium
167,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.87857142857142,High,Medium
168,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,72.74545454545455,Medium,High
169,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,50.075,Medium,Medium
170,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,73.025,High,High
171,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,53.87692307692308,Medium,Low
172,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Unknown,60.114285714285714,Low,Medium
173,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,75.37333333333332,High,Medium
174,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,68.40833333333333,Medium,High
175,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,53.36111111111112,Low,Medium
176,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,70.95714285714286,High,High
177,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,68.03,Medium,Medium
178,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,58.8125,Low,High
179,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,73.8,High,High
180,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.83636363636364,Medium,High
181,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.575,Medium,Medium
182,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.525,High,High
183,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,54.64615384615384,Medium,Low
184,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.54285714285714,Low,Medium
185,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.03999999999999,High,Medium
186,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.575,Medium,High
187,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,53.91666666666666,Low,Medium
188,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,71.43333333333332,High,High
189,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,67.03,Medium,Medium
190,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,57.5625,Low,High
191,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.425,High,High
192,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,63.90384615384615,Medium,High
193,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,57.82222222222222,Medium,Medium
194,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12222222222222,High,High
195,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,57.55,Medium,Medium
196,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,55.1125,Low,Medium
197,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.87857142857142,High,Medium
198,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,72.74545454545455,Medium,High
199,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,50.075,Medium,Medium
200,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,73.025,High,High
201,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,53.87692307692308,Medium,Low
202,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,60.114285714285714,Low,Medium
203,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,75.37333333333332,High,Medium
204,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,68.40833333333333,Medium,High
205,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,53.36111111111112,Low,Medium
